bairro,percentual_verde,lat,lon,ano,mes,temp_max_media,temp_max_abs,chuva_total,umidade_min_media,estacao
Gamboa,2.056613720473978,-22.897,-43.19,2021,9,25.85666666666667,35.4,21.6,65.7,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2021,10,24.712903225806453,33.4,161.8,73.70967741935483,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2021,11,25.33,31.8,106.9,70.83333333333333,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2021,12,26.958064516129035,33.3,174.6,71.83870967741936,Verao
Gamboa,2.056613720473978,-22.897,-43.19,2022,1,28.948387096774194,35.8,207.8,69.83870967741936,Verao
Gamboa,2.056613720473978,-22.897,-43.19,2022,2,28.260714285714283,32.6,135.1,72.21428571428571,Verao
Gamboa,2.056613720473978,-22.897,-43.19,2022,3,30.19677419354839,34.7,46.5,61.03225806451613,Outono
Gamboa,2.056613720473978,-22.897,-43.19,2022,4,26.84333333333333,34.2,209.8,70.6,Outono
Gamboa,2.056613720473978,-22.897,-43.19,2022,5,25.096774193548388,32.2,40.3,63.83870967741935,Outono
Gamboa,2.056613720473978,-22.897,-43.19,2022,6,23.59,28.2,71.6,66.6,Inverno
Gamboa,2.056613720473978,-22.897,-43.19,2022,7,25.870967741935484,30.8,22.200000000000003,58.12903225806452,Inverno
Gamboa,2.056613720473978,-22.897,-43.19,2022,8,24.316129032258065,32.5,57.0,60.45161290322581,Inverno
Gamboa,2.056613720473978,-22.897,-43.19,2022,9,23.706666666666667,35.0,125.1,64.46666666666667,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2022,10,26.33225806451613,33.3,82.60000000000001,71.3225806451613,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2022,11,25.376666666666665,32.8,150.6,70.36666666666666,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2022,12,27.241935483870968,32.7,191.1,70.61290322580645,Verao
Gamboa,2.056613720473978,-22.897,-43.19,2023,1,28.541935483870965,32.8,197.5,72.54838709677419,Verao
Gamboa,2.056613720473978,-22.897,-43.19,2023,2,30.275,34.2,128.7,69.92857142857143,Verao
Gamboa,2.056613720473978,-22.897,-43.19,2023,3,29.11290322580645,33.4,72.2,69.38709677419355,Outono
Gamboa,2.056613720473978,-22.897,-43.19,2023,4,26.563333333333333,29.9,80.2,67.53333333333333,Outono
Gamboa,2.056613720473978,-22.897,-43.19,2023,5,24.716129032258067,27.6,63.3,68.80645161290323,Outono
Gamboa,2.056613720473978,-22.897,-43.19,2023,6,25.023333333333333,29.7,28.1,61.6,Inverno
Gamboa,2.056613720473978,-22.897,-43.19,2023,7,25.164516129032258,35.0,55.8,55.2258064516129,Inverno
Gamboa,2.056613720473978,-22.897,-43.19,2023,8,26.161290322580644,37.1,113.5,61.193548387096776,Inverno
Gamboa,2.056613720473978,-22.897,-43.19,2023,9,28.416666666666668,38.5,33.3,57.46666666666667,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2023,10,27.561290322580643,35.7,75.7,68.29032258064517,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2023,11,29.66333333333333,40.1,50.9,60.8,Primavera
Gamboa,2.056613720473978,-22.897,-43.19,2023,12,29.848387096774196,39.0,90.4,60.516129032258064,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2020,1,31.474193548387092,37.1,173.9,58.25806451612903,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2020,2,30.27586206896552,35.8,381.0,65.44827586206897,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2020,3,28.62903225806452,34.7,173.70000000000002,64.96774193548387,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2020,4,27.24333333333333,32.4,58.8,63.73333333333333,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2020,5,26.348387096774196,31.6,100.1,56.193548387096776,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2020,6,27.84,33.2,26.3,55.03333333333333,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2020,7,27.05483870967742,32.9,57.6,53.25806451612903,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2020,8,26.97741935483871,34.0,66.5,51.354838709677416,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2020,9,31.1,38.0,132.1,48.63333333333333,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2020,10,29.66774193548387,40.4,108.8,56.25806451612903,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2020,11,28.126666666666665,35.8,214.0,63.46666666666667,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2020,12,30.40967741935484,37.1,244.7,64.09677419354838,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2021,1,33.38709677419355,38.7,245.5,50.516129032258064,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2021,2,31.125,38.6,166.6,57.75,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2021,3,32.193548387096776,35.8,170.20000000000002,53.54838709677419,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2021,4,27.37333333333333,33.7,132.9,58.766666666666666,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2021,5,26.870967741935484,33.7,55.5,58.354838709677416,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2021,6,25.166666666666668,30.8,71.8,61.43333333333333,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2021,7,24.26774193548387,31.4,25.6,53.29032258064516,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2021,8,26.80967741935484,34.3,87.6,53.516129032258064,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2021,9,29.05333333333333,38.5,23.9,55.1,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2021,10,27.05483870967742,35.4,215.5,66.0,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2021,11,27.99333333333333,36.3,175.29999999999998,60.13333333333333,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2021,12,29.048387096774192,35.1,282.7,63.80645161290322,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2022,1,31.406451612903226,36.9,263.7,60.83870967741935,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2022,2,30.285714285714285,34.8,217.2,64.17857142857143,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2022,3,33.44193548387097,37.0,118.9,47.2258064516129,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2022,4,28.64333333333333,34.5,146.8,62.8,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2022,5,26.345161290322583,32.4,56.4,57.774193548387096,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2022,6,25.02,30.1,74.19999999999999,60.53333333333333,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2022,7,27.76774193548387,33.4,23.0,48.03225806451613,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2022,8,26.02258064516129,33.8,72.5,52.935483870967744,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2022,9,25.453333333333333,35.9,167.3,59.63333333333333,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2022,10,29.306451612903224,35.2,99.4,60.96774193548387,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2022,11,27.066666666666663,33.8,231.6,65.03333333333333,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2022,12,29.096774193548388,35.1,349.3,64.25806451612904,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2023,1,30.61290322580645,35.5,354.8,63.03225806451613,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2023,2,32.725,37.0,238.2,58.25,Verao
Gericinó,12.944525509350862,-22.868,-43.456,2023,3,31.741935483870968,36.3,116.5,57.354838709677416,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2023,4,27.933333333333334,32.9,109.0,62.0,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2023,5,26.283870967741933,30.5,74.7,60.87096774193548,Outono
Gericinó,12.944525509350862,-22.868,-43.456,2023,6,26.226666666666667,29.8,26.3,54.5,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2023,7,26.148387096774197,33.4,48.9,53.41935483870968,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2023,8,27.693548387096776,36.2,96.7,55.354838709677416,Inverno
Gericinó,12.944525509350862,-22.868,-43.456,2023,9,31.196666666666665,38.6,52.0,49.46666666666667,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2023,10,29.648387096774197,37.8,87.0,63.64516129032258,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2023,11,32.153333333333336,42.0,126.3,54.6,Primavera
Gericinó,12.944525509350862,-22.868,-43.456,2023,12,32.02258064516129,38.3,174.4,55.70967741935484,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2020,1,29.40967741935484,35.6,103.0,65.6774193548387,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2020,2,28.517241379310345,34.3,262.5,71.48275862068965,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2020,3,26.95483870967742,32.5,146.8,71.70967741935483,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2020,4,25.99333333333333,31.7,45.6,67.3,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2020,5,25.080645161290324,29.8,95.9,62.516129032258064,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2020,6,26.30333333333333,31.0,27.1,61.6,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2020,7,25.46451612903226,31.4,61.5,59.774193548387096,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2020,8,24.716129032258067,32.4,64.0,61.32258064516129,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2020,9,27.01,34.4,155.5,66.76666666666667,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2020,10,26.96451612903226,38.1,89.39999999999999,65.7741935483871,Primavera
